"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 12 03:58:21 BDT 2025","Tue Aug 12 03:58:41 BDT 2025","20249","Default suite","Default test","TestCases.UserLogin","TestCases.UserLogin","loginUser","Verify Users successfully loggedin",""
"passed","Tue Aug 12 06:09:52 BDT 2025","Tue Aug 12 06:10:18 BDT 2025","26538","Suite","Test","TestCases.DashbordOperation","TestCases.DashbordOperation","DashbordOperate","Scenario 3: Verify Successful login
Scenario 4: Verify user can create a Bord
Scenario 5: Verify user can make list
Scenario 6: Verify user can delete list
Scenario 7: Verify user can delete bord
Scenario 8: Verify user can log out",""
"passed","Tue Aug 12 06:09:40 BDT 2025","Tue Aug 12 06:09:52 BDT 2025","12018","Suite","Test","TestCases.SignUp","TestCases.SignUp","NewUserSignUp","Sceanrio 1,2: Verify a new user account is created successfully",""
"broken","Tue Aug 12 01:40:30 BDT 2025","Tue Aug 12 01:40:30 BDT 2025","4","Default suite","Default test","TestCases.SignUp","TestCases.SignUp","setBrowser","setBrowser",""
